epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.073,1.75954,1.25618,1.10941,0.81274,0.72713,0.80034,0.46061,1.52902,0.8171,1.0566,0.000666018,0.000666018,0.000666018
2,1028.39,1.57004,0.81984,1.04734,0.8365,0.74587,0.82513,0.48903,1.46591,0.75163,1.03815,0.00126672,0.00126672,0.00126672
3,1526.67,1.54511,0.79473,1.03629,0.84968,0.76145,0.83926,0.50087,1.45404,0.73258,1.02765,0.00180142,0.00180142,0.00180142
4,2023.99,1.51676,0.76639,1.02622,0.85506,0.76715,0.84785,0.5144,1.41928,0.71286,1.01093,0.001703,0.001703,0.001703
5,2522.81,1.49303,0.74495,1.0184,0.85938,0.7755,0.85167,0.51856,1.41061,0.70455,1.01016,0.001604,0.001604,0.001604
6,3019.81,1.47921,0.73111,1.01268,0.86342,0.78643,0.8555,0.52116,1.40865,0.69055,1.00695,0.001505,0.001505,0.001505
7,3517.18,1.46401,0.7168,1.00709,0.87209,0.79034,0.86775,0.53523,1.37965,0.66373,0.99371,0.001406,0.001406,0.001406
8,4015.15,1.45765,0.7064,1.00441,0.87702,0.79484,0.86843,0.53404,1.38554,0.65251,0.99932,0.001307,0.001307,0.001307
9,4517.69,1.44123,0.69375,0.99817,0.87971,0.79995,0.87281,0.54124,1.36554,0.64734,0.99202,0.001208,0.001208,0.001208
10,5013.95,1.43,0.68601,0.99454,0.88019,0.79863,0.87116,0.54068,1.36994,0.63878,0.9918,0.001109,0.001109,0.001109
11,5491.8,1.41444,0.68101,1.01515,0.87746,0.80048,0.87046,0.54053,1.37445,0.63991,0.99911,0.00101,0.00101,0.00101
12,5960.95,1.40747,0.67175,1.01405,0.88253,0.79684,0.87473,0.54454,1.37091,0.63284,0.99252,0.000911,0.000911,0.000911
13,6435.17,1.3978,0.66167,1.00839,0.88505,0.80599,0.87883,0.5501,1.3586,0.62429,0.99155,0.000812,0.000812,0.000812
14,6904.07,1.38952,0.6539,1.00529,0.88705,0.80866,0.88145,0.55202,1.35109,0.62224,0.98676,0.000713,0.000713,0.000713
15,7378.35,1.38325,0.64572,1.00143,0.89058,0.81083,0.88368,0.55459,1.35042,0.6147,0.98421,0.000614,0.000614,0.000614
16,7848.05,1.37564,0.6383,0.99957,0.89165,0.81293,0.88578,0.55755,1.34119,0.60705,0.98303,0.000515,0.000515,0.000515
17,8319.66,1.36875,0.62957,0.99718,0.89394,0.81501,0.88527,0.55784,1.34021,0.59941,0.9827,0.000416,0.000416,0.000416
18,8788.68,1.36249,0.62414,0.99531,0.89548,0.81666,0.88684,0.55941,1.33755,0.59813,0.98064,0.000317,0.000317,0.000317
19,9254.48,1.35647,0.6181,0.99259,0.8947,0.81698,0.88927,0.56301,1.33239,0.59601,0.97836,0.000218,0.000218,0.000218
20,9721.75,1.3525,0.6124,0.99025,0.89753,0.8194,0.89062,0.56353,1.32946,0.5906,0.97759,0.000119,0.000119,0.000119
